N 18 24 E
V 6 42 E
N 12 31 S
V 28 19 S
N 9 11 S
V 35 16 E
N 15 7 E
V 7 53 E
N 14 7 E
V 4 53 N
N 10 11 S
V 9 11 E
N 20 16 E
V 9 10 E
N 21 9 S
V 6 18 S
N 21 15 S
V 2 23 E
N 24 3 S
V 31 10 S
N 37 1 E
V 24 7 N
N 25 9 W
V 2 1 E
N 19 11 W
V 5 7 S
N 19 4 E
V 3 1 S
N 3 1 E
N 4 1 S
V 4 1 E
V 11 22 N
N 14 17 S
V 32 5 W
N 32 6 W
V 10 5 E
N 15 8 W
V 5 31 W
N 24 25 N
V 3 14 E
N 7 14 W
V 6 4 W
N 6 3 S
V 27 14 W
N 30 14 E
V 36 9 W
N 27 8 N
V 7 25 W
N 27 11 E
V 20 20 S
N 8 11 S
V 14 2 S
N 8 11 W
V 4 45 E
N 8 10 W
V 34 22 S
N 8 10 N
V 9 10 N
N 10 10 N
V 16 8 W   
N 11 10 N   :)
V 11 11 S  ODIN IS WITH US
N 11 11 E  Indeed
V 11 10 E  *surprised pikachu face*
N 8 9 E    Sper sa terminam partida inainte sa termin eu univeru
V 11 9 W   Esti dibil? eu vreu sa termin jiu
N 8 8 E    Cum la time? Cand incepi studiile?
V 11 8 W   Pe 21 incep, online de acasa, tre sa caut oraru xD la tn?
N 9 7 W    La mine tat pizdos, iaca invat
V 11 7 W   omigod, cu tempul asta terminam in this lifetime
N 10 6 E   Posibil
V 8 6 E    I just realised, o sa vina o vreme cand o sa treb sa compeltam mai multe la rand, fuck
N 9 5 W    Nu degraba
V 10 4 E   tru, voi faceti cursurile online sau fizic?
N 10 4 N   fizic, cum la tine so inceput? Cum lectiile? 
V 9 4 N    lucker, noi facem tot online -_- lectiile norm
N 9 4 W    cruta 
V 31 6 S   azi o zis ca o sa codim in Verilog
N 9 6 N    Wtf is that?
V 30 7 N   Asa am zis sh eu, eu ma asteptam la C worst case, sh ashela fut Verilog xD
N 10 5 S   Si amush el tacoi deschideti caietelele si scrieti interactiunea dintre assembler si fortan
V 32 4 W   think that, but 6.9 times worse, limbaju seamana cu Pascal xD
N 21 12 W  ) 
V 32 3 W   aaaah yes, seminar in 4 min
N 15 5 S   https://i.imgflip.com/3ogfsq.png 
V 32 3 N
N 15 10 N  (silence)
V 33 3 N   C ii de-a pl, C++ FTW
N 17 7 W   Cand treceti la fizic, nu stii? 
V 32 4 S   Posibil peste 5 sapt, da nu-i confirmat
N 16 8 E   Vei sta in camin? 
V 33 5 N   idk, eu as vrea, da astept sa vad ce se mai intampla
N 16 6 N   ai alte variante? 
V 33 5 E   update: sh caminu ii cu plata deam sh tot sem ii online, bag pl
N 10 21 E  pezdos
V 34 6 W   pe unu din clasa il cheama Ogurcin... agurchick xD
N 10 20 E   
V 31 4 S   am stat oleac sh m-am gandit la ceva bun de zis, couldnt come up with smth, srry
N 10 19 W  petrusca
V 30 4 S   https://i.kym-cdn.com/photos/images/original/001/490/362/5af.png
N 12 20 W  https://i.imgur.com/SNOJIvb.jpg 
V 30 4 W   https://pbs.twimg.com/media/DcgR_SJX0AEpA5H.jpg
N 12 19 E  https://i.kym-cdn.com/photos/images/newsfeed/001/755/550/1ea.jpg 
V 29 3 E   https://i.pinimg.com/originals/db/83/da/db83da28618b51b9b3a03fbadee9c961.jpg
N 13 21 E  Te duci la alegeri?
V 24 19 N  goto 103
N 14 20 W   
V 35 13 N  https://i.pinimg.com/originals/78/9a/00/789a002252494f3e42f756daae386ecc.jpg
N 14 19 W  tu bleati in Timisoara inveti sau in Chitai?
V 31 14 S  https://pbs.twimg.com/media/Cvaix0lWcAAcRX-.jpg:large
N 14 19 N  tat paniatna
V 16 9 S   <insert smort comment that goes well with the situation>
N 15 19 N  103
V 28 17 N  examen la derivate in 6 ore: https://i.imgflip.com/2sadzg.png
N 16 19 W  eaziac pentru tine
V 34 19 S  eeeeez, cand ii f*t un 5
N 16 20 W  )))), cum o fost? 
V 38 20 N  https://i.imgflip.com/2jp8cn.jpg
N 16 21 W  ok, mai updateaza-ma cu ce se intampla pe taramurile tale
V 19 4 N   https://drive.google.com/file/d/1FWeuSvRf-5hR5rMqnEAAVccQtuEhsG19/view?usp=sharing
N 14 20 S  la mine norm, lectiile easiac, la jumate din ele pravda nici nu ma duc, greu de gasit lucru bl, da el treb pentru grant
V 18 6 W   eu caatare nu ma grabesc la lucru pt ca inca is acasa, da as vre sa gasesc pana se incepe al 2-lea sem
N 15 20 S  tu in a doilea semestru deam fizic o sa fii?
V 22 6 W   not confirmed, nu stim nimic, da speram
N 17 21 E  faci ceva interesant acasa?
V 20 4 N   Am o idee pdoasa de joc, bllllll o sa shie *https://giphy.com/gifs/8Odq0zzKM596g*, fac research pe tema these days
N 17 20 E  I'm waiting for updates
V 23 5 W   and thou shall wait until told otherwise
N 18 19 W  amin
V 21 4 E   yeee, mananc derivate partiale pe paine
N 18 19 N  ecuatii diferentiale omogene de gradul 2 ca rasarita 
V 18 3 S   https://i.imgur.com/UV3Rdf1.png , btw, incepe sa-mi placa acel pleasant surprise cand intru ep site sh vad ca eu tre sa mut
N 19 19 N  132 moveuri, not bad, poate terminam pan la sfarsitul universitatii
V 23 6 S   bruh, is 4k mutari
N 20 19 W  sau nu terminam   
V 17 4 E   github dark mode pooog
N 19 20 E  we am 2 intrebari, cum tu stai cu site-urile? si daca vrei sa faci rubla?
V 23 4 W   imi place sa intru pe site-uri; da ; why tho? u got a good idea?
N 19 21 N  go un zvanok pe la vreo 18?
V 22 5 W   k
N 22 19 N  zbs
